id,name,overview,number_of_seasons,number_of_episodes,first_air_date,last_air_date,vote_count,vote_average,popularity,backdrop_path,watchlisted_rating
44,The Act,,1,12,2014-10-05,2019-05-01,4899,7.57,20.258,/y5NFQD2yTGoPLy1KdlBcAwuecqW.jpg,2.009867459544089
NaN,Sherlock,,4,96,2015-07-05,2017-01-15,4716,8.537,71.224,/n5Ty1KJIRNCXlDHDjcPpUgp57tr.jpg,2.181941877875897
46,The Seven Deadly Sins,,4,NaN,2015-08-23,2021-06-23,4710,8.462,10.059,/yJAOi2n,2.160021271559704
47,Dragon Ball Super,,1,113,2005-08-29,2018-03-25,4646,8.208,78.741,,2.066715293134781
48,Fear the Walking Dead,,8,88,2016-04-03,2023-06-18,4591,7.693,282.366,,1.914111026663513
49,Prison Break,,5,NaN,,2017-05-30,4508,8.094,213.262,,1.9774759364180152
50,My Hero Academia,,7,,,2023-03-25,4496,8.673,31.82,,2.1132931672333304
51,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",9,134,2011-06-23,2019-11-24,4470,8.208,745.23,Here are the corrected image paths:,```plaintext
52,Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect, and brilliant imagination.",3,27,2017-03-19,2023-06-15,4383,8.696,64.727,```,1.9884238829772864
53,Black Mirror,"Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.",6,26,2011-12-04,2014-03-31,4382,8.306,211.893,/or0E36KfzJYZwqXeiCfm1JgepKF.jpg,2.065642220078894
54,How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,9,208,2005-09-19,2022-08-15,4376,8.158,319.144,/70YdbMELM4b8x8VXjlubymb2bQ0.jpg,1.9725517233948904
55,Better Call Saul,"""Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and often against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"""".""",6,63,2015-02-08,2023-05-14,4354,8.645,104.469,/wZMY9X8jtSS5GXFue2lvhgaJkii.jpg,1.9347511533286232
56,Miraculous: Tales of Ladybug & Cat Noir,"Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates!",6,129,2015-10-19,2022-02-02,4197,8.043,358.394,/5BMwFwNzSidVYArn561acqtktxv.jpg,2.039940602913359
57,Dark Desire,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy, and leads her to question the truth about those close to her.",2,33,2020-07-15,2019-12-22,4181,7.3,90.553,/hPea3Qy5Gd6z4kJLUruBbwAH8Rm.jpg,1.8294524995919883
58,Mr. Robot,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating antisocial disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.",4,45,2015-06-24,1996-01-31,4119,8.242,61.986,/ogMd4e3A0uSNwZADzgC23zCByoi.jpg,1.654120437405822
59,Dragon Ball Z,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",9,291,1989-04-26,2023-03-12,4070,8.3,178.45,/9CBdzw7CK2m6WpfEfqe73V8i5O0.jpg,1.8398757784616613
60,The Last of Us,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.",1,9,2023-01-15,2023-10-01,4065,8.658,145.629,/uJUe985oIuRiD3hmHQYskIMc2WU.jpg,1.830781863682284
61,One Piece,"""Years ago, the fearsome Pirate King, Gol D. Roger, was executed leaving a huge pile of treasure and the famous """"One Piece"""" behind. Whoever claims the """"One Piece"""" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a """"Devil Fruit,"""" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become the King of the Pirates!""",NaN,39,1999-10-20,2018-10-19,4052,8.725,114.21,/urj6noDW3OlROu34oy6BCmiQEWQ.jpg,1.9074019896530392
62,Marvel's Daredevil,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,3,126,2015-04-10,2021-11-09,4046,8.172,53.036,/uDgy6hyPd82kOHh6I95FLtLnj6p.jpg,1.9160152977728413
63,Supergirl,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",6,151,2015-10-26,2006-05-14,3974,7.334,143.229,/a6ptrTUH1c5OdWanjyYtAkOuYD0.jpg,1.791918842899471
64,Malcolm in the Middle,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",7,411,2000-01-09,2023-10-01,3896,8.495,188.836,/2PrYnQR8YPei5vCVRwJXnwMqMyR.jpg,1.5795481467123258
65,Family Guy,"Sick, twisted, politically incorrect, and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town), and Chris (the middle kid, he's",NaN,49,1999-01-31,2020-06-05,3884,7.288,1073.325,/jgb9xICHFX8wTGQ75js4uNbttQs.jpg,1.793686053313933
66,13 Reasons Why,,4,321,2017-03-31,2023-03-29,3827,7.647,131.916,/ysaA0BInz4071p3LKqAQnWKZCsK.jpg,1.5340929888474
67,South Park,,NaN,7,1997-08-13,2020-10-23,3813,8.359,191.901,/wU1y7snEVYiJBpZ2k1DjIpHgJbx.jpg,1.5860382334629115
68,The Queen's Gambit,,1,100,2020-10-23,2011-05-13,3810,8.524,49.644,/c4CSgKL6QfkJxsWcGYDyTxpbzpW.jpg,1.7273694339172183
69,Teen Wolf,,6,216,2011-06-05,2022-11-23,3803,8.569,162.181,/41neXsH222hV2zrsTyw8h7javon.jpg,1.7600804401576584
70,Smallville,,10,24,2001-10-16,2021-04-29,3730,8.232,243.557,/34OGjFEbHj0E3lE2w0iTUVq0CBz.jpg,1.7661214620930388
71,Chucky,,3,12,2021-10-12,2018-04-16,NaN,7.9,180.715,/1F2RnXLc0fmRt7iWfBK4mNVsjno.jpg,1.664095681176858
72,Invincible,,2,93,2021-03-25,2021-10-06,3717,8.677,74.551,/9g3x5BSoBWKhzKRNuvm4xm0sExU.jpg,1.5944131350992363
73,Scorpion,,4,9,2014-09-22,2013-09-22,3688,8.246,144.243,/n04w4FxcGE6Sfe0M7zzWohKM3by.jpg,1.7479389437039536
74,What If...?,,1,96,2021-08-11,2010-05-23,3676,8.208,53.046,/6UH52Fmau8RPsMAbQbjwN3wJSCj.jpg,1.648156102257012
75,Dexter,,8,118,2006-10-01,2007-06-27,3675,8.19,227.846,/fThSrHjuS1X82XoH9VrtvgvMIXm.jpg,1.6352228621531328
76,Lost,,6,37,2004-09-22,2008-07-19,3659,7.961,145.625,/4N6zEMfZ57zNEQcM8gWeERFupMv.jpg,1.631192985067798
77,Death Note,,1,61,2006-10-04,2013-05-16,3605,8.64,110.221,/aSGSxGMTP893DPMCvMl9AdnEICE.jpg,1.5786800956448444
78,Avatar: The Last Airbender,,3,186,2005-02-21,2023-02-09,3497,8.69,88.002,/o1iJ1aJJnCPPjrJsfXFwgw3yA3H.jpg,1.6880414690057968
79,The Office,,9,334,2005-03-24,2023-05-18,3443,8.587,179.677,/2Yfzm5857lprGonYPl30XgEpTry.jpg,1.6469465646579573
80,Criminal Minds,,NaN,10,2005-09-22,2015-02-18,3413,8.324,275.182,/kU98MbVVgi72wzceyrEbClZmMFe.jpg,1.602295398650813
81,House of the Dragon,,1,151,2022-08-21,2015-09-10,3413,8.448,182.641,/bX6Sypdpk0r8YFdVPoc3yeyvSmm.jpg,1.5396870595963206
82,Law & Order: Special Victims Unit,,24,39,1999-09-20,2012-11-19,3389,7.962,953.554,/65Y6PweSvQ1OOFBzStybjipURRP.jpg,1.562623291622984
83,The Mentalist,,7,113,2008-09-23,2021-11-20,3378,8.39,232.385,/vXpeJJs1z8OKC88CNJX9O9QOhtr.jpg,1.462371929137247
84,Under the Dome,,3,9,2013-06-24,2022-01-28,3355,7.214,108.565,/9xxLWtnFxkpJ2h1uthpvCRK6vta.jpg,1.5359805135135831
85,Pablo Escobar: The Drug Lord,,1,12,2012-05-28,2020-12-31,3350,7.603,359.573,/dwMZ8BW1tUp69baogSrcTAumKuR.jpg,1.3116946959310385
86,Arcane,,2,36,2021-11-06,2020-08-12,3341,8.74,42.447,/qiDOjpLj2KGDwM5MGx9YZpOrBRX.jpg,1.3803648680347222
87,All of Us Are Dead,,2,136,2022-01-28,2019-07-03,3335,8.354,107.108,/r1tMESor8QuPVKP2VxcVEX6t6ad.jpg,1.5825302058955133
88,Chilling Adventures of Sabrina,,2,24,2018-10-26,2019-12-17,3320,8.242,123.963,/rkB4LyZHo1NHXFEDHl9vSD9r1lI.jpg,1.509921638894289
89,Marvel's Agents of S.H.I.E.L.D.,,7,20,2013-09-24,2020-05-28,3221,7.492,289.802,/jZAtLKNZbQZZLm9OLcY9rdZZV5F.jpg,1.482978291938023
90,One-Punch Man,,3,36,2015-10-05,2019-04-25,3207,8.381,69.453,/8AqPuvo0r89khk01yEFT321jiDn.jpg,1.3078339091454192
91,The Purge,,2,100,2018-09-04,2001-01-30,3204,NaN,35.783,/80BRASQnT9KT7BkFeEI0EdeRIF3.jpg,1.4566623675457966
92,Siren,,3,335,2018-03-29,2018-08-01,3171,7.75,49.087,/xWDYXgbRfquh4s21dGnG0BWKySy.jpg,1.2031704821405036
93,Gotham,,5,92,2014-09-22,2001-11-04,3157,7.6,100.464,/rFGtqUOIXP9CudLaSzK9iFZB7lK.jpg,1.3318706372060638
94,"Yo soy Betty, la fea",,1,10,1999-10-25,2021-09-08,3133,8.335,123.868,/uZNhVUocfi44FuyR3FmHOFLwio4.jpg,1.300326083055616
95,The Originals,,5,52,2013-10-03,2017-03-28,3125,8.6,99.452,/7QSM3AsgWXctWBm7OFov9dGdZgt.jpg,1.4152400133290852
96,Band of Brothers,,1,246,2001-09-09,2021-12-22,3107,8.488,70.527,/ftiQHOrAGTGXVsJ1pcAVC5Dau78.jpg,1.4565069887351283
97,Love Is In The Air,,2,6,2020-07-08,2023-08-24,2920,8.2,261.128,/b1Mh03Aeu4IlGvdNm10cbQQxt95.jpg,1.429258303718414
99,Bones,,12,49,2005-09-13,,2891,8.264,304.742,/lngME02RNCzjUI,1.297659659098564
100,Hawkeye,,1,,2021-11-24,,2887,7.96,61.881,,1.294799431644146
,Super Dragon Ball Heroes,,NaN,,2018-07-01,,2882,7.564,122.817,,1.24544327385181
101,Brooklyn Nine-Nine,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",8,152,2013-09-17,2021-09-16,2875,8.236,605.277,/9AeiA1XtP5sel2tAf9LaGeUjhDb.jpg,1.2832707249400834
102,Grimm,"""After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.""",6,122,2011-10-28,2017-03-31,2869,8.283,167.114,/oS3nip9GGsx5A7vWp8A1cazqJlF.jpg,1.2879004932201457
103,Futurama,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",8,134,1999-03-28,2023-09-25,2867,8.396,185.307,/pMCvRynXABgLBMKHYa2UXjTBMsU.jpg,1.304560494368876
104,Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,12,262,2003-09-22,2015-02-18,2843,7.452,489.162,/2pOmuq4nkWZzwZbOfZq7CyyQAsM.jpg,1.148190120840708
105,The Blacklist,"""Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will cooperate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.""",10,218,2013-09-23,2023-07-13,2834,7.619,416.841,/2eIlCirgcvEwmCSYh2wDfz5Sxvz.jpg,1.1702049191251394
106,"Love, Death & Robots","Terrifying creatures, wicked surprises, and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",3,35,2019-03-15,2022-05-20,2804,8.264,113.607,/hkkR14vBgGV4TM0e7BGlMcAQETS.jpg,1.2558345231166328
107,It,"""In 1960, seven outcast kids known as ""The Losers' Club"" fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.""",1,2,1990-11-18,1990-11-20,2794,6.905,61.231,/1YXUpm1Nkx9frbYKFw6YVfv6btV.jpg,1.045572578071132
108,Jujutsu Kaisen,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",1,47,2020-10-03,2023-09-29,2788,8.563,614.553,/lthkKBLe1rX6iThgVFg22O02sJw.jpg,1.29384667283998
109,Dragon Ball,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the mystical Dragon Balls brought her to Goku's home. Together, they set off to find all seven and to grant her wish.",1,153,1986-02-26,1989-04-19,2788,8.2,7.884,/nokCMxb0u5YtLsu7RGs4oUiA8DK.jpg,1.2389983320434237
110,You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",5,40,2018-09-09,2023-03-09,2788,8.078,71.284,/2ZNFu0hkSVtAI6LRWGIlCPNd1Tj.jpg,1.2205644544203385
111,True Detective,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",4,30,2014-01-12,2019-02-24,2787,8.305,76.26,/scx72FpTF929jYXea0MphyE24Wa.jpg,1.2544134600561074
112,The End of the F***ing World,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a darkly comedic road trip in search of her real father.",2,16,2017-10-24,2019-11-07,2786,8.094,31.754,/nfWhNM5VVd9a5bEGobs83TWTuLM.jpg,1.222104693624798
113,El Señor de los Cielos,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed ""El Señor de los Cielos"" (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",8,699,2013-04-15,2023-05-22,2777,7.909,14.76,/iN9uULLaSx7h21tcR9io2dnARjw.jpg,1.190314037214412
114,Legacies,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.",4,68,2018-10-25,2022-06-16,NaN,8.496,148.914,/fRYwdeNjMqC30EhofPx5PlDpdun.jpg,1.2749746779146838
115,SpongeBob SquarePants,"Deep down in the Pacific Ocean in the subterranean city of Bikini Bottom lives a square yellow sponge named SpongeBob SquarePants. SpongeBob lives in a pineapple with his pet snail, Gary, loves his job as a fry cook at the Krusty Krab, and has a knack for getting into all kinds of trouble without really trying. When he's not getting on the nerves of his cranky next-door neighbor Squidward, SpongeBob can usually be found smack in the middle",NaN,578,1999-05-01,2023-08-09,2747,7.617,47.867,/aasp5EmwclAQbwfGABWLTNLhjwB.jpg,1.133983446514901
116,The X-Files,,11,218,1993-09-10,2018-03-21,2726,8.397,643.863,/1vpmGGDaW4aUGKCfQTV0ygAPtBu.jpg,1.240549518760878
117,Sin senos sí hay paraíso,,4,340,2016-07-19,2020-12-03,2676,7.541,113.424,/oAkpvVvoyZWMo9cpNk3aQoVKsjM.jpg,1.0936519957093989
118,Doctor Who,,13,153,2005-03-26,2021-12-05,2639,7.4,173.153,/sRfl6vyzGWutgG0cmXmbChC4iN6.jpg,1.0583643676358263
119,iZombie,,5,71,2015-03-17,2019-08-01,2628,7.797,65.145,/tCjXy1iCsr2BVlNczafnkZ40LPn.jpg,1.1104959909502872
120,Sons of Anarchy,,7,92,2008-09-03,2014-12-09,2569,8.445,376.377,/sAX6JOWZWJGhkvFRctSZIL556mp.jpg,1.1757848448201416
121,Goblin,,1,16,2016-12-02,2017-01-21,2545,8.66,52.348,/uoA7xBzCt3XXqL5fMmB8pmYgABJ.jpg,1.1944549611023485
122,Gravity Falls,,2,40,2012-06-15,2016-02-15,2512,8.531,NaN,/lhg7eA6CTOCL10QNVdKiyxkgPsL.jpg,1.161404961328344
