id,name,overview,number_of_seasons,number_of_episodes,first_air_date,last_air_date,vote_count,vote_average,popularity,backdrop_path,watchlisted_rating
13,Loki,- Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,2,12,2021-06-09,2021-07-14,10136,8.2,276.759,/bZGAX8oMDm3Mo5i0ZPKh9G2OcaO.jpg,4.504478871446249
14,Grey's Anatomy,"- After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel.",NaN,NaN,2005-03-27,2023-05-18,9512,8.253,1647.218,/ds1n5P0Y92cTh6UpbcA89hxM96a.jpg,4.254492737392782
15,The Mandalorian,"- Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion—and not everyone is using their new powers for good.",3,24,2019-11-12,2023-04-19,9353,8.5,154.48,/9zcbqSxdsRMZWHYtyCd1nXPr2xq.jpg,4.308578004016263
16,The Simpsons,- Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,NaN,NaN,1989-12-17,2023-10-01,9136,7.999,439.488,/pxeqQX4qFQ0cVxPt5SWZENV5BH3.jpg,3.9605535309701945
17,Euphoria,- After stealing the,2,16,2019-06-16,2022-02-27,9008,8.353,197.456,/oKt4J3TFjWirVwBqoHyIvv5IImd.jpg,4.077884856377897
18,The Umbrella Academy,,4,32,2019-02-15,2022-06-22,NaN,8.604,51.859,/7sqFEDDmK1hG5m92upolcfQxy7R.jpg,4.145864576424409
19,Peaky Blinders,,6,36,2013-09-12,2022-04-03,8836,8.546,344.477,/wiE9doxiLwq3WCGamDIOb2PqBqc.jpg,4.0924435311834
20,Elite,,7,49,2018-10-05,2022-11-18,8817,8.071,100.711,/tl0mg7lOnS6tP8ngH0QwgMLQdpV.jpg,3.856668298713233
21,The Boys,,4,32,2019-07-25,2022-07-07,8721,8.474,256.856,/thLAoL6VeZGmCyDpCOeoxLvA8yS.jpg,4.0051505555640645
22,Rick and Morty,,7,71,2013-12-02,2022-12-11,8595,8.7,429.047,/9In9QgVJx7PlFOAgVHCKKSbo605.jpg,4.052557947652179
23,The Vampire Diaries,,8,171,2009-09-10,2017-03-10,8356,8.337,633.313,/k7T9xRyzP41wBVNyNeLmh8Ch7gD.jpg,3.775481379759937
24,The Falcon and the Winter Soldier,,1,6,2021-03-19,2021-04-23,8008,7.693,35.521,/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,3.33874996765877
25,Naruto Shippūden,,NaN,NaN,2007-02-15,2017-03-23,7712,8.6,128.823,/z0YhJvomqedHF85bplUJEotkN5l.jpg,3.594426207080099
26,The 100,,7,100,2014-03-19,2020-09-30,7666,7.916,127.224,/hTExot1sfn7dHZjGrk0Aiwpntxt.jpg,3.288809364420238
27,Wednesday,,2,8,2022-11-23,2022-11-23,7506,8.548,164.275,/iHSwvRVsRyxpX7FE7GbviaDvgGZ.jpg,3.4772600698882727
28,Friends,,10,NaN,1994-09-22,2004-05-06,7192,8.444,214.333,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,3.291258572376887
29,Supernatural,,NaN,NaN,2005-09-13,2020-11-19,6909,8.304,439.934,/nVRyd8hlg0ZLxBn9RaI7mUMQLnz.jpg,3.1093286825696747
30,Sex Education,,4,32,2019-01-11,2023-09-21,6647,8.304,1008.977,/5SEEBS5qXgL5rgivTiAROy1Qt2q.jpg,2.9914181144942287
31,Vikings,,6,89,2013-03-03,2020-12-30,6385,NaN,294.196,/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg,2.798071052546036
32,Dark,,3,26,2017-12-01,2020-06-27,6049,8.432,86.861,/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,2.764256135948254
33,House,,8,NaN,2004-11-16,2012-05-21,5799,8.595,239.575,/r0Q6eeN9L1ORL9QsV0Sg8ZV3vnv.jpg,2.701239487176436
34,Cobra Kai,,6,50,2018-05-02,2022-09-09,5734,8.22,118.256,/zymbuoBoL1i94xAOzVJF6IuWLfD.jpg,2.5544276473826013
35,Demon Slayer: Kimetsu no Yaiba,,5,55,2019-04-06,2023-06-18,5618,8.7,82.89,/nTvM4mhqNlHIvUkI1gVnW6XP7GG.jpg,2.648897097139028
36,Arrow,,8,170,2012-10-10,2020-01-28,5569,6.793,174.419,/rqbCbjB19amtOtFQbb3K2lgm2zv.jpg,2.050231644497357
37,Attack on Titan,,4,87,2013-04-07,2022-04-04,5492,8.657,55.416,/20eIP9o5ebArmu2HxJutaBjhLf4.jpg,2.5766892524698863
38,Chernobyl,,1,5,2019-05-06,2019-06-03,5376,8.649,67.445,/a4doyPOabvQor0RGkWdhVENAR3G.jpg,2.5199345269352555
39,American Horror Story,,NaN,130,2011-10-05,2023-09-27,5198,8.145,254.735,/9fwJ5ZOF14XjxDsIPDvEvnIo9r0.jpg,2.2945179721689724
40,Naruto,,4,220,2002-10-03,2007-02-08,5189,8.36,135.573,/foGkPxpw9h8zln81j63mix5B7m8.jpg,2.351007681176164
41,The Witcher,,3,24,2019-12-20,2023-07-27,5159,8.132,240.462,/coHgKyLRwhbMktEWr6dwSYUg2BH.jpg,2.2736677291282223
42,Rebelde,,3,NaN,2004-10-04,2006-06-09,5017,8.433,92.914,/rX5hvSRB2k4YoIvRg6Zky52rWk0.jpg,2.29292738524386
43,Westworld,,4,36,2016-10-02,2022-08-14,4948,8.075,66.988,/1yhQGQH7pfKdIY2xJSYNdp8ReD6.jpg,2.1653909724878484
44,The Act,,1,8,2019-03-20,2019-05-01,4899,7.57,20.258,/y5NFQD2yTGoPLy1KdlBcAwuecqW.jpg,2.009867459544089
NaN,Sherlock,,4,12,2010-07-25,2017-01-15,4716,8.537,71.224,/n5Ty1KJIRNCXlDHDjcPpUgp57tr.jpg,2.181941877875897
46,The Seven Deadly Sins,,4,96,2014-10-05,2021-06-23,4710,8.462,10.059,/yJAOi2n,2.160021271559704
47,Dragon Ball Super,,1,131,2015-07-05,2018-03-25,4646,8.208,78.741,,2.066715293134781
48,Fear the Walking Dead,,8,113,2015-08-23,2023-06-18,4591,7.693,282.366,,1.914111026663513
49,Prison Break,,5,88,2005-08-29,2017-05-30,4508,8.094,213.262,,1.9774759364180152
50,My Hero Academia,,7,138,2016-04-03,2023-03-25,4496,8.673,31.82,,2.1132931672333304
51,Suits,,9,134,2011-06-23,NaN,4470,8.208,745.23,,1.9884238829772864
52,Anne with an E,,3,27,2017-03-19,2019-11-24,4383,8.696,64.727,,2.065642220078894
53,Black Mirror,,6,26,2011-12-04,2023-06-15,4382,8.306,211.893,,1.9725517233948904
54,How I Met Your Mother,,9,NaN,2005-09-19,2014-03-31,4376,8.158,319.144,,1.9347511533286232
55,Better Call Saul,,6,63,2015-02-08,2022-08-15,4354,8.645,104.469,,2.039940602913359
56,Miraculous: Tales of Ladybug & Cat Noir,,6,129,2015-10-19,2023-05-14,4197,8.043,358.394,,1.8294524995919883
57,Dark Desire,,2,33,2020-07-15,2022-02-02,4181,7.3,90.553,,1.654120437405822
58,Mr. Robot,,4,45,2015-06-24,2019-12-22,4119,8.242,61.986,,1.8398757784616613
59,Dragon Ball Z,,9,NaN,1989-04-26,1996-01-31,4070,8.3,178.45,,1.830781863682284
60,The Last of Us,,1,9,2023-01-15,2023-03-12,4065,8.658,145.629,,1.9074019896530392
61,One Piece,,NaN,NaN,1999-10-20,2023-10-01,4052,8.725,114.21,,1.9160152977728413
62,Marvel's Daredevil,,3,39,2015-04-10,2018-10-19,4046,8.172,53.036,,1.791918842899471
63,Supergirl,,6,126,2015-10-26,2021-11-09,3974,7.334,143.229,,1.5795481467123258
64,Malcolm in the Middle,,7,151,2000-01-09,2006-05-14,3896,8.495,188.836,,1.793686053313933
65,Family Guy,,NaN,NaN,1999-01-31,2023-10-01,3884,7.288,1073.325,,1.5340929888474
66,13 Reasons Why,,4,49,2017-03-31,2020-06-05,3827,7.647,131.916,,1.5860382334629115
67,South Park,,NaN,NaN,1997-08-13,2023-03-29,3813,8.359,191.901,,1.7273694339172183
68,The Queen's Gambit,,1,7,2020-10-23,2020-10-23,3810,8.524,49.644,,1.7600804401576584
69,Teen Wolf,,6,100,2011-06-05,NaN,3803,8.569,162.181,,1.7661214620930388
70,Smallville,,10,216,2001-10-16,2011-05-13,3730,8.232,243.557,,1.664095681176858
71,Chucky,,3,24,2021-10-12,2022-11-23,NaN,7.9,180.715,,1.5944131350992363
72,Invincible,,2,12,2021-03-25,2021-04-29,3717,8.677,74.551,,1.7479389437039536
73,Scorpion,,4,93,2014-09-22,2018-04-16,3688,8.246,144.243,,1.648156102257012
74,What lf...?,,1,9,2021-08-11,2021-10-06,3676,8.208,53.046,,1.6352228621531328
75,Dexter,,8,96,2006-10-01,2013-09-22,3675,8.19,227.846,,1.631192985067798
76,Lost,,6,118,2004-09-22,2010-05-23,3659,7.961,145.625,,1.5786800956448444
77,Death Note,,1,37,2006-10-04,2007-06-27,3605,8.64,110.221,,1.6880414690057968
78,Avatar: The Last Airbender,,3,61,2005-02-21,2008-07-19,3497,8.69,88.002,,1.6469465646579573
79,The Office,,9,NaN,2005-03-24,2013-05-16,3443,8.587,179.677,,1.602295398650813
80,Criminal Minds,,NaN,NaN,2005-09-22,2023-02-09,3413,8.324,275.182,,1.5396870595963206
81,House of the Dragon,,1,10,2022-08-21,NaN,3413,8.448,182.641,,1.562623291622984
82,Law & Order: Special Victims Unit,,NaN,NaN,1999-09-20,2023-05-18,3389,7.962,953.554,,1.462371929137247
83,The Mentalist,,7,151,2008-09-23,2015-02-18,3378,8.39,232.385,,1.5359805135135831
84,Under the Dome,,3,39,2013-06-24,2015-09-10,3355,7.214,108.565,,1.3116946959310385
85,Pablo Escobar: The Drug Lord,,1,113,2012-05-28,2012-11-19,3350,7.603,359.573,,1.3803648680347222
86,Arcane,,2,9,2021-11-06,2021-11-20,3341,8.74,42.447,,1.5825302058955133
87,All of Us Are Dead,,2,12,2022-01-28,2022-01-28,3335,8.354,107.108,,1.509921638894289
88,Chilling Adventures of Sabrina,,2,36,2018-10-26,2020-12-31,3320,8.242,123.963,,1.482978291938023
89,Marvel's Agents of S.H.I.E.L.D.,,7,136,2013-09-24,2020-08-12,3221,7.492,289.802,,1.3078339091454192
90,One-Punch Man,,3,24,2015-10-05,2019-07-03,3207,8.381,69.453,,1.4566623675457966
91,The Purge,,2,20,2018-09-04,2019-12-17,3204,6.929,35.783,,1.2031704821405036
92,Siren,,3,36,2018-03-29,2020-05-28,3171,7.75,49.087,,1.3318706372060638
93,Gotham,,5,100,2014-09-22,2019-04-25,3157,7.6,100.464,,1.300326083055616
94,"Yo soy Betty, la fea",,1,NaN,1999-10-25,2001-01-30,3133,8.335,123.868,,1.4152400133290852
95,The Originals,,5,92,2013-10-03,2018-08-01,3125,8.6,99.452,,1.4565069887351283
96,Band of Brothers,,1,10,2001-09-09,2001-11-04,3107,8.488,70.527,,1.429258303718414
97,Love Is In The Air,,2,52,2020-07-08,2021-09-08,2920,8.2,261.128,,1.297659659098564
NaN,Bones,,NaN,246,2005-09-13,2017-03-28,2891,8.264,304.742,,1.294799431644146
99,Hawkeye,,1,6,2021-11-24,2021-12-22,2887,7.96,61.881,,1.24544327385181
100,Super Dragon Ball Heroes,,NaN,49,2018-07-01,2023-08-24,2882,7.564,122.817,,1.1814343576769497
101,Brooklyn Nine-Nine,,8,152,2013-09-17,2021-09-16,2875,8.236,605.277,,1.2832707249400834
102,Grimm,,6,122,2011-10-28,2017-03-31,2869,8.283,167.114,,1.2879004932201457
103,Futurama,,8,134,1999-03-28,2023-09-25,2867,8.396,185.307,,1.304560494368876
104,Two and a Half Men,,NaN,262,2003-09-22,2015-02-18,2843,7.452,489.162,,1.148190120840708
105,The Blacklist,,10,218,2013-09-23,2023-07-13,2834,7.619,416.841,,1.1702049191251394
106,"Love, Death & Robots",,3,35,2019-03-15,2022-05-20,2804,8.264,113.607,,1.2558345231166328
107,It,,1,2,1990-11-18,1990-11-20,2794,6.905,61.231,,1.045572578071132
108,Jujutsu Kaisen,,1,47,2020-10-03,2023-09-29,2788,8.563,614.553,,1.29384667283998
109,DragonmBall,,1,153,1986-02-26,1989-04-19,2788,8.2,7.884,,1.2389983320434237
110,You,,5,40,2018-09-09,2023-03-09,2788,8.078,71.284,,1.2205644544203385
111,True Detective,,4,30,2014-01-12,2019-02-24,2787,8.305,76.26,,1.2544134600561074
112,The End of the F***ing World,,2,16,2017-10-24,2019-11-07,2786,8.094,31.754,,1.222104693624798
113,El Señor de los Cielos,,8,NaN,2013-04-15,2023-05-22,2777,7.909,14.76,,1.190314037214412
114,Legacies,,4,68,2018-10-25,2022-06-16,9999,8.496,148.914,,1.2749746779146838
115,Spongefob SquarePants,,NaN,NaN,1999-05-01,2023-08-09,2747,7.617,47.867,,1.133983446514901
116,The X-Files,,NaN,218,1993-09-10,2018-03-21,2726,8.397,643.863,,1.240549518760878
117,Sin senos sí hay paraíso,,4,NaN,2016-07-19,2020-12-03,2676,7.541,113.424,,1.0936519957093989
118,Doctor Who,,NaN,153,2005-03-26,2021-12-05,2639,7.4,173.153,,1.0583643676358263
119,iZombie,,5,71,2015-03-17,2019-08-01,2628,7.797,65.145,,1.1104959909502872
120,Sons of Anarchy,,7,92,2008-09-03,2014-12-09,2569,8.445,376.377,,1.175784
121,Goblin,,1,16,2016-12-02,2017-01-21,2545,8.66,52.348,,
122,Gravity Falls,,2,40,2012-06-15,2016-02-15,2512,8.531,NaN,,
123,Narcos,,3,30,2015-08-28,2017-09-01,2493,8.006,76.746,,
124,Titans,,4,49,2018-10-12,2023-05-11,2487,7.975,92.504,,
125,Adventure Time,,10,NaN,2010-04-05,2018-09-03,2474,8.477,316.301,,
126,The Handmaid's Tale,,5,56,2017-04-26,2022-11-09,2457,8.2,684.333,,
127,Pretty Little Liars,,7,161,2010-06-08,2017-06-27,2425,8.028,509.785,,
128,House of Cards,,6,73,2013-02-01,2018-11-02,2403,8.045,67.655,,
129,Outlander,,8,83,2014-08-09,2023-08-11,2403,8.217,141.529,,
130,Moon Knight,,1,6,2022-03-30,2022-05-04,2392,7.816,49.843,,
131,Modern Family,,11,250,2009-09-23,2020-04-08,2346,7.841,168.723,,
132,Peacemaker,,1,NaN,2022-01-13,2022-02-17,2334,8.326,49.988,,
133,Locked Up,,4,40,2015-04-20,2019-02-04,2318,8.017,104.169,,
134,Blindspot,,5,100,2015-09-21,2020-07-23,2293,7.378,67.007,,
135,Boruto: Naruto Next Generations,,1,NaN,2017-04-05,2023-03-26,2293,7.89,149.166,,
136,The Sopranos,,6,86,1999-01-10,2007-06-10,2292,8.6,NaN,,
137,Seven Deadly Sins,,1,7,2008-12-29,2009-01-04,2282,7.7,7.537,,
138,Fargo,,5,51,2014-04-15,2020-11-29,2278,8.313,133.703,,
139,Shameless,,NaN,134,2011-01-09,2021-04-11,2268,8.2,271.993,,
140,Control Z,,3,24,2020-05-22,2022-07-06,2242,8.227,20.708,,
141,Dahmer – Monster: The Jeffrey Dahmer Story,,1,10,2022-09-21,2022-09-21,2228,8.061,59.532,,
142,The Book of Boba Fett,,1,7,2021-12-29,2022-02-09,2223,7.71,47.62,,
143,Orange Is the New Black,,7,91,2013-07-11,2019-07-26,2222,7.688,103.656,,
144,The Lord of the Rings: The Rings of Power,,1,8,2022-09,2022-10-13,2210,7.408,127.962,,
145,Marvel's The Punisher,,2,26,,2019-01-18,2207,8.119,48.888,,
146,Spartacus,,3,33,,,2192,7.997,163.932,,
147,Chicago P.D.,,10,NaN,,,2186,8.453,755.394,,
148,Marvel's Iron Fist,,2,23,,,2179,6.529,10.22,,
149,Fast & Furious Spy Racers,,6,52,,,2166,6.976,41.373,,
NaN,9-1-1,,6,96,,,2165,8.224,239.165,,
151,See,,3,24,,,2163,NaN,197.199,,
152,Fringe,,5,100,,,2154,8.119,190.366,,
153,DC's Legends of Tomorrow,,7,110,,,2130,7.332,173.189,,
154,Young Sheldon,,6,127,,,2124,8.057,297.324,,
155,Tce Pacific,,1,10,,,2123,7.738,57.386,,
156,Hannibal,,3,39,,,2121,8.23,41.747,,
157,Mindhunter,,2,19,,,2099,8.069,39.398,,
158,BoJack Horseman,,6,76,,,2083,8.558,78.876,,
159,Tokyo Ghoul,,4,48,,,2072,8.374,NaN,,
160,Charmed,,NaN,178,,,2068,8.189,130.029,,
161,Marvel's Jessica Jones,,3,39,,,2059,7.529,28.684,,
162,The Expanse,,6,62,,,2058,8.054,106.253,,
163,The Fresh Prince of Bel-Air,,6,148,,,NaN,7.955,130.923,,
164,Superman & Lois,,3,43,,,2047,8.1,157.443,,
165,NCIS,,NaN,NaN,,,2047,7.631,754.614,,
166,Bridgerton,,NaN,24,,,2045,8.143,71.308,,
167,Heroes,,4,78,,,2018,7.487,64.842,,
168,Chicago Fire,,11,NaN,,,2008,8.4,257.093,,
169,Homeland,,8,96,,,1969,7.544,90.782,,
170,The Kardashians,,4,40,,,1968,8.63,86.223,,
171,Ozark,,4,44,,,1968,8.244,68.006,,
172,Locked Up: The Oasis,,1,8,,,1966,7.86,20.921,,
173,The Haunting of Hill House,,1,10,,,1953,8.1,47.223,,
174,Once Upon a Time,,7,156,,,1948,7.315,625.792,,
175,Halo,,1,9,,,1926,8.3,91.325,,
176,Pasión de Gavilanes,,2,NaN,,,1925,7.641,283.197,,
177,The Wire,,5,60,,,1889,8.535,77.897,,
178,El juego de las llaves,,2,18,,,1878,7.483,25.334,,
179,Sex and the City,,6,94,,,1871,7.4,91.846,,
180,American Dad!,,NaN,NaN,,,1861,6.952,196.512,,
181,"Sex, Explained",,1,5,,,1856,6.553,17.276,,
182,Gossip Girl,,6,121,,,1852,8.302,102.347,,
183,InuYasha,,2,193,,,1851,8.587,89.589,,
184,Love Alarm,,2,14,,,1843,8.402,28.929,,
185,The Legend of Korra,,4,52,,,1841,8.253,47.604,,
186,Firefly,,1,11,,,1830,8.331,43.565,,
187,Lupin,,2,17,,,1824,7.769,124.785,,
188,She-Hulk: Attorney at Law,,1,9,,,1816,6.378,45.06,,
189,The Wheel of Time,,2,NaN,,,1809,7.74,489.993,,
190,The Crown,,6,55,,,1794,8.236,52.673,,
191,Regular Show,,8,NaN,,,1783,8.655,190.447,,
192,Dragon Ball GT,,1,64,,,1783,7.678,18.346,,
NaN,Twin Peaks,,3,48,,,1775,8.295,197.043,,
NaN,La Reina del Sur,,3,NaN,,,1769,7.839,107.222,,
195,Yellowstone,,5,47,,,1768,8.2,442.49,,
196,Star Wars: The Clone Wars,,7,133,,,1767,8.474,629.948,,
197,Fullmetal Alchemist: Brotherhood,,1,64,,,1749,8.699,318.286,,
198,Jurassic World Camp Cretaceous,,5,49,,,1745,8.031,38.434,,
199,Drake & Josh,,4,57,,,1736,8.371,77.958,,
200,The Sandman,,1,11,,,1726,8.064,64.168,,
